,participant,par1,par2,par3,name
0,0_epo,0.16476533632511278,0.006958858884101065,,pieron
1,10_epo,0.13698012213382751,0.07757743116935427,,pieron
2,11_epo,0.15833215944993154,0.11086975886108519,,pieron
3,12_epo,0.1751194768772889,8.267262286716204e-28,,pieron
4,13_epo,0.14237713391096257,0.08411652702052158,,pieron
5,14_epo,0.1304056756533434,0.04226767811063169,,pieron
6,15_epo,0.19924705610313131,1.902997754031062e-11,,pieron
7,16_epo,0.17562827298619546,3.215052517646606e-18,,pieron
8,17_epo,0.1795330325756855,0.018076814823412207,,pieron
9,18_epo,0.15711573649698304,0.04885807988724789,,pieron
10,19_epo,0.1788261399727214,5.842447752295926e-23,,pieron
11,1_epo,0.1556540509669855,0.10986598726510689,,pieron
12,20_epo,0.1577017975242827,0.023760852839790077,,pieron
13,21_epo,0.17903209486314492,0.039335565595574024,,pieron
14,22_epo,0.16019806747480325,0.024218461341066647,,pieron
15,23_epo,0.16871611260484534,0.05018684889172072,,pieron
16,24_epo,0.14558806289983514,0.03205425182527282,,pieron
17,25_epo,0.21881232955390323,0.018351781521682927,,pieron
18,2_epo,0.18202924642096613,0.025577349110018605,,pieron
19,3_epo,0.18937009863995308,0.019681254821700533,,pieron
20,4_epo,0.1712251387609423,0.010516029242802835,,pieron
21,5_epo,0.148295887758359,0.010605552651035294,,pieron
22,6_epo,0.15391896204902467,0.045462319961795075,,pieron
23,7_epo,0.16228703988221382,0.01799032145408395,,pieron
24,8_epo,0.15149449608447993,0.056160487315219526,,pieron
25,9_epo,0.23261160714285523,2.4852273958082756e-26,,pieron
