,participant,gof,name
0,0_epo,0.006342307748449301,linear
1,10_epo,0.00270747242671433,linear
2,11_epo,0.006514976566734713,linear
3,12_epo,0.0064134243260438135,linear
4,13_epo,0.004667378567032684,linear
5,14_epo,0.003744957059245319,linear
6,15_epo,0.0088880355894481,linear
7,16_epo,0.004507160253098248,linear
8,17_epo,0.004068546360108203,linear
9,18_epo,0.005483276612473374,linear
10,19_epo,0.009252829144273701,linear
11,1_epo,0.006321395714986367,linear
12,20_epo,0.006232853900857929,linear
13,21_epo,0.005346173739533028,linear
14,22_epo,0.0063308654397652995,linear
15,23_epo,0.005270506428885974,linear
16,24_epo,0.008942075774783242,linear
17,25_epo,0.005556634401713106,linear
18,2_epo,0.006629677504840128,linear
19,3_epo,0.008596221252096433,linear
20,4_epo,0.005994431828481623,linear
21,5_epo,0.004118815296489815,linear
22,6_epo,0.005120725903785925,linear
23,7_epo,0.007357006037212822,linear
24,8_epo,0.002638437550193256,linear
25,9_epo,0.005376352303932113,linear
