,participant,gof,name
0,0_epo,0.000308541451524154,fechner
1,10_epo,0.00015437161315859198,fechner
2,11_epo,9.366229295656085e-05,fechner
3,12_epo,0.0002688697355484642,fechner
4,13_epo,0.0001320944381437139,fechner
5,14_epo,0.000168612508408287,fechner
6,15_epo,0.00016536737707616956,fechner
7,16_epo,0.00014830757132432645,fechner
8,17_epo,5.8574745727410235e-05,fechner
9,18_epo,0.00019779807007403618,fechner
10,19_epo,7.564686032945438e-05,fechner
11,1_epo,0.00010245523404615136,fechner
12,20_epo,0.00026285796480386584,fechner
13,21_epo,0.00013410159409730805,fechner
14,22_epo,0.0003294610402762561,fechner
15,23_epo,0.00015396187381541018,fechner
16,24_epo,0.000173189010903245,fechner
17,25_epo,0.00026757975088402314,fechner
18,2_epo,0.00011797225962561947,fechner
19,3_epo,0.00014802069041060367,fechner
20,4_epo,0.00014802783403838839,fechner
21,5_epo,0.00033081864257492077,fechner
22,6_epo,0.00021890593531308144,fechner
23,7_epo,0.00019050341092745964,fechner
24,8_epo,0.000142474316313686,fechner
25,9_epo,8.238063563995427e-05,fechner
