,participant,par1,par2,par3,name
0,0_epo,0.013452254893103754,0.14986442578261183,,linear
1,10_epo,-0.011402666602980373,0.13845202314869914,,linear
2,11_epo,-0.08102367399669777,0.19886940768395017,,linear
3,12_epo,0.007036938927699854,0.1602833631452224,,linear
4,13_epo,-0.02777335856956937,0.1497431582546442,,linear
5,14_epo,-0.010651514806614266,0.1375081256362133,,linear
6,15_epo,0.014523655670338975,0.2107018667424183,,linear
7,16_epo,0.011528078609827075,0.14698006816327192,,linear
8,17_epo,-0.028891502752294018,0.19625751489320364,,linear
9,18_epo,-0.03417279856565636,0.16902234347979117,,linear
10,19_epo,0.05044539528168973,0.1650350534752424,,linear
11,1_epo,-0.030050895106180642,0.16039557743253385,,linear
12,20_epo,0.042207641819312,0.14400624979535903,,linear
13,21_epo,-0.046133150354914006,0.20445423206607682,,linear
14,22_epo,0.008164707974664176,0.1328918198137946,,linear
15,23_epo,-0.02964409373827248,0.18340267043866432,,linear
16,24_epo,-0.021223565791083754,0.16062067042632067,,linear
17,25_epo,-0.027563636412634818,0.22904368299432099,,linear
18,2_epo,0.014167987090114242,0.18013946617014653,,linear
19,3_epo,-0.014476112929076024,0.21278227064426014,,linear
20,4_epo,0.0030956080327175783,0.15947460718840223,,linear
21,5_epo,-0.006583315699702164,0.13446854654766938,,linear
22,6_epo,-0.02569551743536299,0.18993168423937715,,linear
23,7_epo,0.0019024127386888523,0.1539394215972133,,linear
24,8_epo,-0.03626835999568723,0.16427346704070345,,linear
25,9_epo,0.005848467289653492,0.2236192500259404,,linear
