,participant,par1,par2,par3,name
0,6_epo,0.025060763113846307,0.5698477321596254,,linear
1,19_epo,-0.056299443224552756,0.5041646378812634,,linear
2,20_epo,0.05861943615409919,0.4680134716358321,,linear
3,10_epo,0.07507154032941639,0.49336305669556096,,linear
4,0_epo,0.011463281112626067,0.5624186422486447,,linear
5,11_epo,0.3458065105025421,0.6520678866403572,,linear
6,23_epo,-0.07653166371454748,0.49654381054571395,,linear
7,14_epo,0.05444011470649501,0.5400571987065719,,linear
8,4_epo,0.025514363722226263,0.48932593893940945,,linear
9,9_epo,0.011261662235946913,0.6168465812244065,,linear
10,18_epo,-0.03628877721562933,0.5192787314900815,,linear
11,12_epo,0.04087732047276693,0.5372296057183111,,linear
12,1_epo,0.10133982775879169,0.4897154664268928,,linear
13,24_epo,0.03427390551981202,0.7819890359355435,,linear
14,15_epo,0.04891645639555131,0.6525573351120006,,linear
15,7_epo,0.14898355614528191,0.5328896349600967,,linear
16,16_epo,0.031041819383181624,0.4627876794866802,,linear
17,17_epo,0.23765348709667866,0.7822835513977137,,linear
18,25_epo,0.026173133701829165,0.467998799828513,,linear
19,3_epo,0.0011223458577848122,0.6261938934240701,,linear
20,21_epo,0.010505288227004916,0.4585550856639917,,linear
21,13_epo,-0.010345729062449256,0.49128377500980347,,linear
22,5_epo,0.006024747233395855,0.46893816715420233,,linear
23,22_epo,-0.01948205130347925,0.5524063817827118,,linear
24,2_epo,0.0258896281113238,0.48844701526935447,,linear
25,8_epo,-0.02695513846283526,0.544760863468577,,linear
