,participant,gof,name
0,6_epo,0.2554256229472107,linear
1,19_epo,0.18508541205577386,linear
2,20_epo,0.18362040837501753,linear
3,10_epo,0.18471669419119555,linear
4,0_epo,0.07435586360776858,linear
5,11_epo,0.1427663804783167,linear
6,23_epo,0.20431093532898606,linear
7,14_epo,0.036912480714133784,linear
8,4_epo,0.11890483525667606,linear
9,9_epo,0.33066938331917867,linear
10,18_epo,0.051721140324404904,linear
11,12_epo,0.2395354584938239,linear
12,1_epo,0.04416097282643817,linear
13,24_epo,0.24704188432291813,linear
14,15_epo,0.34473476584345575,linear
15,7_epo,0.2532204257802574,linear
16,16_epo,0.10197900943924351,linear
17,17_epo,0.21596280811500035,linear
18,25_epo,0.09458906858015842,linear
19,3_epo,0.1741658872160641,linear
20,21_epo,0.3426635950985658,linear
21,13_epo,0.03119706029444624,linear
22,5_epo,0.10743291119196118,linear
23,22_epo,0.08047614449887419,linear
24,2_epo,0.26569157628152273,linear
25,8_epo,0.032817542218043914,linear
