,participant,par1,par2,par3,name
0,0_epo,6.357120455914578e-09,0.07489008907053814,0.16023571036647644,fechner
1,10_epo,3.568200828530472e-11,0.05347796445112619,0.144939707626388,fechner
2,11_epo,1.986652623008414e-12,0.048293733942179284,0.1743841672328606,fechner
3,12_epo,2.333060861028219e-06,0.0176313734438892,0.17480861156251812,fechner
4,13_epo,7.989214758502561e-16,0.04689893881554169,0.152366898527425,fechner
5,14_epo,1.6653511172790668e-05,0.0657907630161427,0.13154573120569144,fechner
6,15_epo,0.8867733484924674,0.4484912991047405,5.726353121007317e-10,fechner
7,16_epo,7.073942055993562e-06,0.0489630418991453,0.17323089356156054,fechner
8,17_epo,0.6477516590496042,0.428170056547555,3.100923269663783e-08,fechner
9,18_epo,0.11587242101411938,0.08722425479487872,0.1570637836665905,fechner
10,19_epo,18.509999998925736,0.17598511984680482,0.15150974569325862,fechner
11,1_epo,4.6228465098909627e-10,0.04969120955877364,0.1710711554807525,fechner
12,20_epo,0.14690485248002527,0.08442283632171281,0.1542079804001395,fechner
13,21_epo,1.1191943935013509e-07,0.08285587251922116,0.17939344438248347,fechner
14,22_epo,1.2041518345347292e-08,0.06596437619820131,0.15959464932886616,fechner
15,23_epo,1.2063457028828935e-09,0.05643512213519189,0.17396201784388365,fechner
16,24_epo,6.06933690636038e-09,0.07756712692012631,0.1441483207002153,fechner
17,25_epo,7.37176874035495e-08,0.08849196945058418,0.21484646040077326,fechner
18,2_epo,8.709012964784602e-09,0.057352141712996324,0.18335047073850375,fechner
19,3_epo,3.765668207003593e-08,0.06934924462581578,0.18817077531206752,fechner
20,4_epo,5.036077022156267e-05,0.07162449064473056,0.16780995247033093,fechner
21,5_epo,3.716835532147772e-07,0.03257025947508284,0.14873998076494846,fechner
22,6_epo,0.4858658250858584,0.40151062657614517,4.6130320584041525e-11,fechner
23,7_epo,6.314316836379067e-09,0.05956393241136616,0.16152763937923456,fechner
24,8_epo,2.0046110769191038e-09,0.06505063549386493,0.15572055447829247,fechner
25,9_epo,18.50999999999552,0.1297315990936363,0.21721486903862613,fechner
