,participant,par1,par2,par3,name
0,0_epo,0.013418935871758575,0.16016379974653416,,linear
1,10_epo,-0.022444665549010256,0.15560027752323757,,linear
2,11_epo,-0.05352962639683115,0.1995396087803254,,linear
3,12_epo,-0.0012113760124021766,0.14884472071097787,,linear
4,13_epo,-0.02553139725100443,0.1554280313837934,,linear
5,14_epo,-0.020677861785692864,0.1402271180277883,,linear
6,15_epo,-0.008644774326179716,0.1687983179668192,,linear
7,16_epo,0.007085100900713903,0.154879843661056,,linear
8,17_epo,-0.029856184944593824,0.18932069350055913,,linear
9,18_epo,-0.0041017160506277815,0.15990147576118846,,linear
10,19_epo,-0.009654238806319779,0.14934642316462804,,linear
11,1_epo,-0.016737488482913454,0.17937693499959895,,linear
12,20_epo,-0.01362795118631932,0.15585607814185698,,linear
13,21_epo,-0.016236212802719807,0.16201110373818262,,linear
14,22_epo,-0.037164689771068724,0.17396152272434035,,linear
15,23_epo,-0.023529221345510942,0.15332363321730713,,linear
16,24_epo,-0.023522393759699417,0.15260724305677872,,linear
17,25_epo,-0.009350028401386767,0.19805514878192299,,linear
18,2_epo,-0.02077151421864755,0.17259550135472235,,linear
19,3_epo,0.012436204778214721,0.18263340574543396,,linear
20,4_epo,-0.015150261386053021,0.16097330437575574,,linear
21,5_epo,-0.023208844419335867,0.14704798884154838,,linear
22,6_epo,-0.028660227349629253,0.15891428305159572,,linear
23,7_epo,-0.01913138952301127,0.15305801451106565,,linear
24,8_epo,-0.03271146099172628,0.1680569939080404,,linear
25,9_epo,0.014413576948879903,0.2042690386682453,,linear
