,participant,gof,name
0,0_epo,0.04550012050493881,pieron
1,10_epo,0.013101689126176173,pieron
2,11_epo,0.0676689279776092,pieron
3,12_epo,0.02284888244861093,pieron
4,13_epo,0.015957502965267625,pieron
5,14_epo,0.03336801559114034,pieron
6,15_epo,0.04666245390004226,pieron
7,16_epo,0.009419557081499143,pieron
8,17_epo,0.1706854877290755,pieron
9,18_epo,0.02886384160370769,pieron
10,19_epo,0.016135845406666873,pieron
11,1_epo,0.017937848364280418,pieron
12,20_epo,0.013699957189073816,pieron
13,21_epo,0.015102239700822934,pieron
14,22_epo,0.037479275002575065,pieron
15,23_epo,0.023659666582445366,pieron
16,24_epo,0.06784517166516012,pieron
17,25_epo,0.014728585074859945,pieron
18,2_epo,0.01461412983912627,pieron
19,3_epo,0.03607451293085004,pieron
20,4_epo,0.016993127175970762,pieron
21,5_epo,0.017009910977938456,pieron
22,6_epo,0.04937546459122578,pieron
23,7_epo,0.04590696695696252,pieron
24,8_epo,0.024156638975732482,pieron
25,9_epo,0.038849578613772286,pieron
