,participant,gof,name
0,0_epo,0.0028254158357594785,fechner
1,10_epo,0.0010717427960329911,fechner
2,11_epo,0.001977725035606154,fechner
3,12_epo,0.0038378755733016706,fechner
4,13_epo,0.002132716081922881,fechner
5,14_epo,0.0021324810548352634,fechner
6,15_epo,0.0026994397662513147,fechner
7,16_epo,0.002867086998890117,fechner
8,17_epo,0.0016467518652278075,fechner
9,18_epo,0.0016970187895348897,fechner
10,19_epo,0.0027432597511237726,fechner
11,1_epo,0.0024997254774885174,fechner
12,20_epo,0.0016847042395423,fechner
13,21_epo,0.0014796042161342004,fechner
14,22_epo,0.0049198394216849566,fechner
15,23_epo,0.0026279949028579727,fechner
16,24_epo,0.005392698223288193,fechner
17,25_epo,0.002394528664383097,fechner
18,2_epo,0.0015137801539988618,fechner
19,3_epo,0.00283366765620625,fechner
20,4_epo,0.0023000683010288014,fechner
21,5_epo,0.0029621684798861736,fechner
22,6_epo,0.0016180447445874736,fechner
23,7_epo,0.004019652995162458,fechner
24,8_epo,0.001463855030997002,fechner
25,9_epo,0.002344074884185445,fechner
