,participant,par1,par2,par3,name
0,0_epo,0.40651422528873227,1.8687387293292796e-18,,pieron
1,10_epo,0.7294402236237536,2.5486452492653135e-22,,pieron
2,11_epo,0.8770682261348255,1.6747237027706048e-17,,pieron
3,12_epo,0.9519373837305036,4.1898655879602703e-16,,pieron
4,13_epo,0.4118503581726147,8.7917388954337e-17,,pieron
5,14_epo,0.5010444317082371,5.416191242889694e-21,,pieron
6,15_epo,1.3565443840541085,4.931927077441047e-21,,pieron
7,16_epo,0.5109218465391618,7.901230826693654e-27,,pieron
8,17_epo,0.8156087637530154,1.4806313244848986e-20,,pieron
9,18_epo,0.3588152836284013,0.02987593358750985,,pieron
10,19_epo,0.7149075544462952,5.840323255214857e-22,,pieron
11,1_epo,0.46278271754143596,3.059518134809172e-26,,pieron
12,20_epo,0.5950237771735002,2.489064011354487e-21,,pieron
13,21_epo,0.8152557249493847,9.549380119269892e-22,,pieron
14,22_epo,0.4558194892441672,0.002614211250223657,,pieron
15,23_epo,0.7071210414419956,1.1846618490260503e-14,,pieron
16,24_epo,1.0910089666193175,1.9474893157116998e-24,,pieron
17,25_epo,0.5333153332585278,1.8333127437336314e-27,,pieron
18,2_epo,0.9500863943994212,2.5109460983864547e-16,,pieron
19,3_epo,0.57165239337568,4.057900496456885e-27,,pieron
20,4_epo,0.5111030899765105,1.500712151700367e-15,,pieron
21,5_epo,0.4973405005053614,8.350909655662907e-17,,pieron
22,6_epo,0.9343896004767177,5.640571157768565e-16,,pieron
23,7_epo,0.7070786204128834,2.191009019762975e-18,,pieron
24,8_epo,0.42664233150059844,0.002552747312604039,,pieron
25,9_epo,0.945502232083318,1.674518251785962e-17,,pieron
