,participant,par1,par2,par3,name
0,0_epo,0.3629322258554355,3.789081741558139e-21,,pieron
1,10_epo,0.3447844198832995,2.956650672768352e-26,,pieron
2,11_epo,0.6073028673831182,2.436533195695968e-21,,pieron
3,12_epo,0.36588775842476035,6.735468767302574e-17,,pieron
4,13_epo,0.3002737175148238,2.6947993393329105e-23,,pieron
5,14_epo,0.3985375650266692,1.7303405767831336e-16,,pieron
6,15_epo,0.4755876887518257,4.961667826659606e-15,,pieron
7,16_epo,0.28105012904008064,8.52726276314138e-22,,pieron
8,17_epo,0.6909012588915747,3.908612441999349e-16,,pieron
9,18_epo,0.2893407612672004,0.02843973959015831,,pieron
10,19_epo,0.2862929198580565,0.046477826147242204,,pieron
11,1_epo,0.32650516044182937,6.514659768380627e-17,,pieron
12,20_epo,0.30430832188058243,1.275218596945371e-19,,pieron
13,21_epo,0.273157482078853,9.38744477213004e-29,,pieron
14,22_epo,0.3446317165017358,5.368838383995301e-23,,pieron
15,23_epo,0.2580077634017213,0.06796135706701112,,pieron
16,24_epo,0.6153338067912879,4.2364282546571764e-18,,pieron
17,25_epo,0.24496613646707113,2.5799654738073536e-19,,pieron
18,2_epo,0.2996150461358658,4.793222086899565e-16,,pieron
19,3_epo,0.3841600438814078,0.03357220869703274,,pieron
20,4_epo,0.3093735948741001,1.0766373634456369e-26,,pieron
21,5_epo,0.299120213849266,4.9938837867856087e-17,,pieron
22,6_epo,0.3992355510599359,5.652769292476864e-19,,pieron
23,7_epo,0.41742874776057326,3.1638133315898914e-20,,pieron
24,8_epo,0.3353667177294765,0.02448316878073628,,pieron
25,9_epo,0.3693825740574503,8.109490105672001e-28,,pieron
