,participant,par1,par2,par3,name
0,0_epo,0.1315626053670873,0.3417238511393974,,linear
1,10_epo,0.3567127989779162,0.5552596545005312,,linear
2,11_epo,0.48559941346524593,0.6400903467171717,,linear
3,12_epo,0.6907841499825939,0.6160720589559145,,linear
4,13_epo,0.11721265929852279,0.35441615549066374,,linear
5,14_epo,0.16076888655699484,0.4226587367532171,,linear
6,15_epo,0.7476416177909331,1.0019888910528274,,linear
7,16_epo,0.20650448647036862,0.4099979512765639,,linear
8,17_epo,0.3036386147089911,0.6694687605612105,,linear
9,18_epo,-0.017943386490570257,0.37801846251215077,,linear
10,19_epo,0.3503558407158066,0.5433730804901938,,linear
11,1_epo,0.17365775249522908,0.3778823057455861,,linear
12,20_epo,0.4939332399469313,0.35331861992352154,,linear
13,21_epo,0.7327405224413777,0.4687910871395891,,linear
14,22_epo,0.00581227669992086,0.45409748172687087,,linear
15,23_epo,0.15605959837768657,0.6309717378910156,,linear
16,24_epo,0.46962973001215114,0.8619399501805713,,linear
17,25_epo,0.18956319001950603,0.4404089504177744,,linear
18,2_epo,0.6141419197217409,0.6537542122677534,,linear
19,3_epo,0.14145614837050313,0.5026392502731756,,linear
20,4_epo,0.2845596884001611,0.3713595396664554,,linear
21,5_epo,0.09961813798380684,0.44849879034564805,,linear
22,6_epo,0.5368960273748133,0.6732774955043705,,linear
23,7_epo,0.3249213346042085,0.5470730493242306,,linear
24,8_epo,-0.006042925896318786,0.43063910238958086,,linear
25,9_epo,0.42929434407014255,0.7354669077233384,,linear
