,participant,par1,par2,par3,name
0,0_epo,-0.001489301904570084,0.16657766905394422,,linear
1,10_epo,-0.02863254690798067,0.1617806873530283,,linear
2,11_epo,-0.052679077066921876,0.20242441954617285,,linear
3,12_epo,0.010606806370830241,0.1699623543731423,,linear
4,13_epo,-0.02600931771902748,0.16731095785251593,,linear
5,14_epo,-0.00994417935698455,0.14072261475059322,,linear
6,15_epo,-0.009859184039107582,0.2039225956213672,,linear
7,16_epo,0.013733252177188982,0.16891648992562677,,linear
8,17_epo,-0.009501230187474397,0.18729753590824694,,linear
9,18_epo,-0.02493019420713691,0.17690821915478963,,linear
10,19_epo,0.011361287964619327,0.1732636450231071,,linear
11,1_epo,-0.05436484589305923,0.2001190744937904,,linear
12,20_epo,-0.008365835358385988,0.16542829721798472,,linear
13,21_epo,-0.01878417319242337,0.1951403358808159,,linear
14,22_epo,0.002608823957577222,0.16266559589355223,,linear
15,23_epo,-0.016756946200772393,0.18532349591950636,,linear
16,24_epo,-0.009898573772194386,0.15499315916821133,,linear
17,25_epo,-0.0051940054378223355,0.22522291112054338,,linear
18,2_epo,-0.0033413260550561575,0.1882519760740823,,linear
19,3_epo,-0.006735861074141258,0.19626636183619717,,linear
20,4_epo,-0.002899028200932019,0.17436369412685915,,linear
21,5_epo,-0.007013401659381691,0.15323939841247958,,linear
22,6_epo,-0.026428126567295415,0.17376490629783903,,linear
23,7_epo,0.003404644776738075,0.16339890429990245,,linear
24,8_epo,-0.02264632803905897,0.17104884030189915,,linear
25,9_epo,0.011074750707606884,0.22719320591584935,,linear
