,participant,gof,name
0,6_epo,0.05227112375950679,linear
1,19_epo,0.017951456429452107,linear
2,20_epo,0.01465950029221736,linear
3,10_epo,0.013598456279054079,linear
4,0_epo,0.053530983650801924,linear
5,11_epo,0.05726557003298323,linear
6,23_epo,0.02805443005009508,linear
7,14_epo,0.03513851174206561,linear
8,4_epo,0.017249090084904755,linear
9,9_epo,0.040356444983325614,linear
10,18_epo,0.03341520289237118,linear
11,12_epo,0.021978945101073146,linear
12,1_epo,0.018970890884906846,linear
13,24_epo,0.07197448653604174,linear
14,15_epo,0.047785831549413786,linear
15,7_epo,0.04911651951195854,linear
16,16_epo,0.009495752751251927,linear
17,17_epo,0.17382743712006074,linear
18,25_epo,0.018096900539054585,linear
19,3_epo,0.03710221233458387,linear
20,21_epo,0.016198976263076585,linear
21,13_epo,0.014681676225484493,linear
22,5_epo,0.018624260515750266,linear
23,22_epo,0.03867548707457677,linear
24,2_epo,0.014361692966314637,linear
25,8_epo,0.026656845351970982,linear
