,participant,par1,par2,par3,name
0,0_epo,0.1662221647092024,0.003261889607471159,,pieron
1,10_epo,0.1368255581849375,0.05723115541244617,,pieron
2,11_epo,0.15591277239139215,0.1076327304954392,,pieron
3,12_epo,0.14693573794366557,0.009369159585604267,,pieron
4,13_epo,0.1332673507568402,0.07197844189901907,,pieron
5,14_epo,0.12336717561948612,0.05535430101349583,,pieron
6,15_epo,0.1609198758539291,0.023416865315551635,,pieron
7,16_epo,0.15835039833691372,9.813588069267865e-19,,pieron
8,17_epo,0.1625348391085305,0.07440952558397462,,pieron
9,18_epo,0.15291120181745127,0.033400298057837535,,pieron
10,19_epo,0.13819626919144998,0.04721775636927298,,pieron
11,1_epo,0.1651301791909129,0.03744615022792662,,pieron
12,20_epo,0.14287580758102877,0.044765981713832045,,pieron
13,21_epo,0.14575832422941457,0.05724889878010831,,pieron
14,22_epo,0.14386460046224137,0.08153910539223773,,pieron
15,23_epo,0.133641436831403,0.0613126752952378,,pieron
16,24_epo,0.12805760620679726,0.09851302439010572,,pieron
17,25_epo,0.1870779093200473,0.03512876666699651,,pieron
18,2_epo,0.15479057974087373,0.04991942483107984,,pieron
19,3_epo,0.18873429071098483,6.336200677799227e-11,,pieron
20,4_epo,0.14816241556949172,0.037184347317745045,,pieron
21,5_epo,0.12611810184277428,0.0750263695559631,,pieron
22,6_epo,0.13393070588656275,0.08054782213001853,,pieron
23,7_epo,0.13577617627033295,0.05848715458960243,,pieron
24,8_epo,0.1394927894440732,0.08798323394002003,,pieron
25,9_epo,0.2113407484290828,2.2693950521398068e-26,,pieron
