,participant,gof,name
0,0_epo,0.006342466224894875,fechner
1,10_epo,0.0027667254822070194,fechner
2,11_epo,0.006714397637282415,fechner
3,12_epo,0.0064215070902633445,fechner
4,13_epo,0.004716130564645284,fechner
5,14_epo,0.00375212396993701,fechner
6,15_epo,0.008845489495374477,fechner
7,16_epo,0.0045207819708199684,fechner
8,17_epo,0.004067463149095249,fechner
9,18_epo,0.005528101856362655,fechner
10,19_epo,0.009232568762808572,fechner
11,1_epo,0.006535961886158255,fechner
12,20_epo,0.00623791572417695,fechner
13,21_epo,0.005370942497681727,fechner
14,22_epo,0.006331356046800186,fechner
15,23_epo,0.005290720414885062,fechner
16,24_epo,0.008949091598131549,fechner
17,25_epo,0.0055585819112071826,fechner
18,2_epo,0.00663048017167317,fechner
19,3_epo,0.008599478425066497,fechner
20,4_epo,0.005995037712937755,fechner
21,5_epo,0.004122374107346594,fechner
22,6_epo,0.005170289582686971,fechner
23,7_epo,0.007357838000346197,fechner
24,8_epo,0.002675552634428136,fechner
25,9_epo,0.005382504908510025,fechner
