,participant,par1,par2,par3,name
0,0_epo,6.704015215549695e-10,0.07680538558035443,0.1608392847677939,fechner
1,10_epo,4.447183655944924e-11,0.06720591667829497,0.1401022777412291,fechner
2,11_epo,3.2946284158811125e-07,0.10781419540924997,0.16168619111413474,fechner
3,12_epo,0.3169548562092383,0.341092403381338,0.03197303709870852,fechner
4,13_epo,0.00018662279782276825,0.07277382846593378,0.13762161663075512,fechner
5,14_epo,2.905639350653244e-08,0.07709476755282962,0.12424867136875033,fechner
6,15_epo,8.919431558900189e-12,0.0754084058783136,0.15887750386716343,fechner
7,16_epo,0.4334175968253699,0.3982131863040535,2.1380282548534977e-12,fechner
8,17_epo,1.1316948692746687e-07,0.048639776872503974,0.17226062773730264,fechner
9,18_epo,2.530577342292617e-09,0.04611182887355613,0.15576474505850355,fechner
10,19_epo,3.4090498497306877e-11,0.05589560365984513,0.14148407489386888,fechner
11,1_epo,3.0158830584790797e-09,0.06469328021517909,0.16701245728095812,fechner
12,20_epo,8.005722126891435e-11,0.06031273895607452,0.14557969282677025,fechner
13,21_epo,1.1620694464071482e-10,0.059660400679503685,0.15049599614816622,fechner
14,22_epo,9.70934573490739e-10,0.061590401282979414,0.1519367259837889,fechner
15,23_epo,5.8892272433502466e-12,0.07414357223355332,0.13626647185491103,fechner
16,24_epo,1.7845509694957284e-05,0.04736255510205612,0.1388718451938027,fechner
17,25_epo,8.747079613891573e-07,0.06839557458857932,0.18879383061418045,fechner
18,2_epo,1.2791822719885985e-09,0.062434927852646954,0.15851255356006927,fechner
19,3_epo,5.570535583870802e-05,0.07743831928247902,0.1827375985987139,fechner
20,4_epo,3.106486630975215e-11,0.06719015104325449,0.1490411557387487,fechner
21,5_epo,7.278018310685752e-06,0.06196139769821217,0.1318343493841164,fechner
22,6_epo,3.4775862609503702e-12,0.0540636193571526,0.14194789680507683,fechner
23,7_epo,2.8923374336038438e-11,0.05780041675510716,0.14033828236748758,fechner
24,8_epo,4.315465119855786e-12,0.055632652679319716,0.14889684379978974,fechner
25,9_epo,1.255476827782473e-06,0.014885855761632975,0.21111915972941533,fechner
