,participant,gof,name
0,0_epo,0.00030853005023422986,linear
1,10_epo,0.00015336691198738277,linear
2,11_epo,9.368387322870934e-05,linear
3,12_epo,0.0002688437977365507,linear
4,13_epo,0.00013226315241800877,linear
5,14_epo,0.00016861990207316048,linear
6,15_epo,0.00016581985654317302,linear
7,16_epo,0.00014725832693869722,linear
8,17_epo,5.85534916526425e-05,linear
9,18_epo,0.00019777052793241732,linear
10,19_epo,7.563592482193197e-05,linear
11,1_epo,0.00010169435998177528,linear
12,20_epo,0.00026296958281587043,linear
13,21_epo,0.00013447032087692405,linear
14,22_epo,0.00033013062003297677,linear
15,23_epo,0.0001539227260151106,linear
16,24_epo,0.00017291247419990525,linear
17,25_epo,0.00026985657388906985,linear
18,2_epo,0.00011821121304785945,linear
19,3_epo,0.00014783490914047808,linear
20,4_epo,0.0001483077034973504,linear
21,5_epo,0.00033046502501185164,linear
22,6_epo,0.00021874778978201703,linear
23,7_epo,0.00018978497826728724,linear
24,8_epo,0.00014277639249506678,linear
25,9_epo,8.213908386516928e-05,linear
