,participant,gof,name
0,0_epo,0.005033858958813828,fechner
1,10_epo,0.0015116346345780797,fechner
2,11_epo,0.0034312857757747527,fechner
3,12_epo,0.0030609510346914725,fechner
4,13_epo,0.0027020737626239216,fechner
5,14_epo,0.002565491410875961,fechner
6,15_epo,0.004189035939056865,fechner
7,16_epo,0.0025796224790237163,fechner
8,17_epo,0.0027003065530408874,fechner
9,18_epo,0.004026822954464978,fechner
10,19_epo,0.003199315057196561,fechner
11,1_epo,0.003670494504051571,fechner
12,20_epo,0.0029163978131461154,fechner
13,21_epo,0.0025621591881316284,fechner
14,22_epo,0.00338408383553986,fechner
15,23_epo,0.0026776332515604413,fechner
16,24_epo,0.003255706333128874,fechner
17,25_epo,0.003997061108340945,fechner
18,2_epo,0.0023589598314747886,fechner
19,3_epo,0.0049918007379237085,fechner
20,4_epo,0.003383958298352608,fechner
21,5_epo,0.0021094040042074383,fechner
22,6_epo,0.0026826369927969974,fechner
23,7_epo,0.0027264938570220254,fechner
24,8_epo,0.0019516000375375381,fechner
25,9_epo,0.0036405622477879533,fechner
