,participant,gof,name
0,0_epo,0.006868143065134303,fechner
1,10_epo,0.00223228877779767,fechner
2,11_epo,0.0048717289963569315,fechner
3,12_epo,0.004191067772882135,fechner
4,13_epo,0.0031038382608350344,fechner
5,14_epo,0.0033106832480682053,fechner
6,15_epo,0.005443718786963128,fechner
7,16_epo,0.0028520966740121093,fechner
8,17_epo,0.0031093490061876936,fechner
9,18_epo,0.005250754633235057,fechner
10,19_epo,0.003918297670451672,fechner
11,1_epo,0.004784186525122503,fechner
12,20_epo,0.0034046868943082348,fechner
13,21_epo,0.0029153890011007076,fechner
14,22_epo,0.005437086670117734,fechner
15,23_epo,0.003513809097409989,fechner
16,24_epo,0.005437742576914394,fechner
17,25_epo,0.005110048789932617,fechner
18,2_epo,0.002786500570621345,fechner
19,3_epo,0.006598930092933084,fechner
20,4_epo,0.004277860012047534,fechner
21,5_epo,0.003022656585864266,fechner
22,6_epo,0.0033471585208307048,fechner
23,7_epo,0.0035003099659498592,fechner
24,8_epo,0.002237611938902585,fechner
25,9_epo,0.004123484042953515,fechner
