,participant,gof,name
0,0_epo,0.0068550981933938075,linear
1,10_epo,0.002196071377867076,linear
2,11_epo,0.004665227647217513,linear
3,12_epo,0.0041910524787569965,linear
4,13_epo,0.003056861439149297,linear
5,14_epo,0.0032806771834272184,linear
6,15_epo,0.0054383247645457995,linear
7,16_epo,0.0028495019027083425,linear
8,17_epo,0.003045637665556242,linear
9,18_epo,0.00524954020090203,linear
10,19_epo,0.003911599686429864,linear
11,1_epo,0.004764114031117652,linear
12,20_epo,0.003391348261540051,linear
13,21_epo,0.0028963911702856193,linear
14,22_epo,0.005337631970624267,linear
15,23_epo,0.0034741571381441657,linear
16,24_epo,0.005398033343213053,linear
17,25_epo,0.005103775858558347,linear
18,2_epo,0.002755255697369193,linear
19,3_epo,0.006587792796883465,linear
20,4_epo,0.004261274324239839,linear
21,5_epo,0.0029837601085236616,linear
22,6_epo,0.003287962330881882,linear
23,7_epo,0.00347389662159563,linear
24,8_epo,0.0021603564000903805,linear
25,9_epo,0.0041085310031041015,linear
