,participant,gof,name
0,0_epo,0.0001104978259693493,fechner
1,10_epo,0.00010127194473002691,fechner
2,11_epo,4.313824662246594e-05,fechner
3,12_epo,0.0001473362820103601,fechner
4,13_epo,4.6553981359371376e-05,fechner
5,14_epo,5.571804929753614e-05,fechner
6,15_epo,5.315116930055491e-05,fechner
7,16_epo,4.829165428471176e-05,fechner
8,17_epo,4.6639275585171584e-05,fechner
9,18_epo,7.013614939968421e-05,fechner
10,19_epo,4.283041535961262e-05,fechner
11,1_epo,5.2318158742986823e-05,fechner
12,20_epo,8.275411980814855e-05,fechner
13,21_epo,6.427010958951524e-05,fechner
14,22_epo,9.753598427483193e-05,fechner
15,23_epo,7.873599220678444e-05,fechner
16,24_epo,8.401812436500552e-05,fechner
17,25_epo,7.731518379825763e-05,fechner
18,2_epo,7.174083665051252e-05,fechner
19,3_epo,7.618488585391259e-05,fechner
20,4_epo,5.352135199733653e-05,fechner
21,5_epo,0.00010126458295736807,fechner
22,6_epo,0.00010784582650675068,fechner
23,7_epo,0.00011941127508721962,fechner
24,8_epo,9.394415728545268e-05,fechner
25,9_epo,4.27799807367505e-05,fechner
