,participant,par1,par2,par3,name
0,0_epo,-0.0017562393965853038,0.015290318921886049,,linear
1,10_epo,0.0010891455733476425,0.01290405933114955,,linear
2,11_epo,0.00036718269289588875,0.013208437335885437,,linear
3,12_epo,0.0009205029671454426,0.01336849922560666,,linear
4,13_epo,0.00039340980937459995,0.011140954550021892,,linear
5,14_epo,0.0007341612095562041,0.012726317874741088,,linear
6,15_epo,-0.0013810917878157728,0.014183556146554347,,linear
7,16_epo,-6.458870883134259e-05,0.01327922555436324,,linear
8,17_epo,-0.0013146455672708988,0.013505717337367093,,linear
9,18_epo,-0.001234822769363636,0.014519064570687615,,linear
10,19_epo,6.621893989999794e-05,0.012471709327276925,,linear
11,1_epo,0.0024235725553286803,0.010874854214909146,,linear
12,20_epo,-0.0010205382079585335,0.014469503662376506,,linear
13,21_epo,0.0004954062340357837,0.012928593910860164,,linear
14,22_epo,0.002671221656961131,0.015421148682872985,,linear
15,23_epo,-0.0004086877983222859,0.012469515601385341,,linear
16,24_epo,0.0012776343720281831,0.013345964759749947,,linear
17,25_epo,0.001672375058192084,0.013199849012229623,,linear
18,2_epo,0.0006004571819003586,0.011888684408148602,,linear
19,3_epo,0.0019052426286268105,0.01324214869910966,,linear
20,4_epo,-0.0005632938555038372,0.012198284358534617,,linear
21,5_epo,0.00022424515891150687,0.014290437427174174,,linear
22,6_epo,0.00018942191238224826,0.015297668177075896,,linear
23,7_epo,0.0020159989604299437,0.013581231056722345,,linear
24,8_epo,6.629607168939788e-05,0.014237570275471123,,linear
25,9_epo,-3.143428396071471e-05,0.011986641136168041,,linear
