,participant,gof,name
0,0_epo,2.5725943249077e-05,fechner
1,10_epo,1.76586415014069e-05,fechner
2,11_epo,1.4518255290671838e-05,fechner
3,12_epo,3.2576648678395254e-05,fechner
4,13_epo,9.634477817507089e-06,fechner
5,14_epo,1.5333621391940348e-05,fechner
6,15_epo,1.552845394628886e-05,fechner
7,16_epo,1.1997482925070995e-05,fechner
8,17_epo,1.6979010604952817e-05,fechner
9,18_epo,2.0966945883806555e-05,fechner
10,19_epo,1.2702673887019855e-05,fechner
11,1_epo,8.327528016939076e-06,fechner
12,20_epo,1.3386181637259799e-05,fechner
13,21_epo,1.7283734965917245e-05,fechner
14,22_epo,2.652745762133955e-05,fechner
15,23_epo,1.3777101769983884e-05,fechner
16,24_epo,1.9877191198540354e-05,fechner
17,25_epo,2.6867820193474633e-05,fechner
18,2_epo,1.702812395727631e-05,fechner
19,3_epo,1.3854668458849076e-05,fechner
20,4_epo,9.295681067449038e-06,fechner
21,5_epo,2.8039804192274134e-05,fechner
22,6_epo,2.6890144140928206e-05,fechner
23,7_epo,2.889752703175307e-05,fechner
24,8_epo,2.760208288083548e-05,fechner
25,9_epo,1.0533241113172146e-05,fechner
