,participant,par1,par2,par3,name
0,0_epo,0.03173299300541497,2.524354896707238e-28,,pieron
1,10_epo,0.035054561265662906,3.725848953607289e-20,,pieron
2,11_epo,0.03534176184197088,1.496339866888314e-17,,pieron
3,12_epo,0.03714801596222912,6.462348535570529e-27,,pieron
4,13_epo,0.037188385125687645,0.06243447430462776,,pieron
5,14_epo,0.03199062931153978,0.014757707833212274,,pieron
6,15_epo,0.029140527326971224,0.0536072500015444,,pieron
7,16_epo,0.03310844928085223,1.0639326285627753e-20,,pieron
8,17_epo,0.027374334359367637,0.046469542082264934,,pieron
9,18_epo,0.03957324546202667,0.01599542064772763,,pieron
10,19_epo,0.027199574280761432,0.025802231724079337,,pieron
11,1_epo,0.037302895639595844,1.3654055304453564e-18,,pieron
12,20_epo,0.035753454846742645,0.0340404532106015,,pieron
13,21_epo,0.0299490517768248,0.0405152333365308,,pieron
14,22_epo,0.031246231006910097,0.07340092178055006,,pieron
15,23_epo,0.034419321812275326,0.08122415291783222,,pieron
16,24_epo,0.03385141683613659,0.06674276016370397,,pieron
17,25_epo,0.036189017309745074,6.600479889281902e-15,,pieron
18,2_epo,0.034766333897619614,2.4278600658356577e-16,,pieron
19,3_epo,0.03433660242606055,0.018989676333161922,,pieron
20,4_epo,0.03475578911870502,1.5777218104420236e-30,,pieron
21,5_epo,0.029983089640870486,0.020806445925333917,,pieron
22,6_epo,0.029510842010798663,0.03347158514312993,,pieron
23,7_epo,0.036754853978185245,0.03646231634618757,,pieron
24,8_epo,0.029761402027140154,3.54782934602822e-24,,pieron
25,9_epo,0.03756522099805406,2.6021964558207307e-10,,pieron
