,participant,gof,name
0,6_epo,0.25524469570424635,fechner
1,19_epo,0.18387007619209625,fechner
2,20_epo,0.18420505501593523,fechner
3,10_epo,0.1824672151643569,fechner
4,0_epo,0.07465280689938616,fechner
5,11_epo,0.1366371869167233,fechner
6,23_epo,0.204242052870449,fechner
7,14_epo,0.03697945741857274,fechner
8,4_epo,0.11895684786230722,fechner
9,9_epo,0.32321888374211094,fechner
10,18_epo,0.05185426721026775,fechner
11,12_epo,0.2340281361801427,fechner
12,1_epo,0.04329857869270276,fechner
13,24_epo,0.2400424269994036,fechner
14,15_epo,0.33617733746586836,fechner
15,7_epo,0.25417819553633153,fechner
16,16_epo,0.10243049132630955,fechner
17,17_epo,0.21491617410900912,fechner
18,25_epo,0.09469841322631328,fechner
19,3_epo,0.17537531233793976,fechner
20,21_epo,0.3449384742418697,fechner
21,13_epo,0.03127470716338996,fechner
22,5_epo,0.10674694012110689,fechner
23,22_epo,0.08047662966153138,fechner
24,2_epo,0.26477137993046523,fechner
25,8_epo,0.032903562238798666,fechner
