,participant,gof,name
0,0_epo,0.006341656959810658,pieron
1,10_epo,0.0026784216023389555,pieron
2,11_epo,0.006447046593016132,pieron
3,12_epo,0.0064215070902633445,pieron
4,13_epo,0.004605530730888953,pieron
5,14_epo,0.003730678294641119,pieron
6,15_epo,0.008895641023237037,pieron
7,16_epo,0.004520781970819969,pieron
8,17_epo,0.004067965764790509,pieron
9,18_epo,0.0054842159231561945,pieron
10,19_epo,0.009262194576580878,pieron
11,1_epo,0.006276967410530804,pieron
12,20_epo,0.006228433614827342,pieron
13,21_epo,0.005334338340359629,pieron
14,22_epo,0.006321680364453689,pieron
15,23_epo,0.005239042268846227,pieron
16,24_epo,0.008933829464297754,pieron
17,25_epo,0.005548004020464335,pieron
18,2_epo,0.006616099537651534,pieron
19,3_epo,0.008590343645476632,pieron
20,4_epo,0.005992991663236048,pieron
21,5_epo,0.004120750576110937,pieron
22,6_epo,0.005134518626385242,pieron
23,7_epo,0.007352552632568444,pieron
24,8_epo,0.0026218826911073995,pieron
25,9_epo,0.005385335618622449,pieron
