,participant,gof,name
0,0_epo,0.00030852789901367905,pieron
1,10_epo,0.00015437161315859146,pieron
2,11_epo,9.370118393303456e-05,pieron
3,12_epo,0.00026894349945193603,pieron
4,13_epo,0.00013236148272763648,pieron
5,14_epo,0.00016870994468015305,pieron
6,15_epo,0.00016607355596016726,pieron
7,16_epo,0.00014774149095233012,pieron
8,17_epo,5.851029503615376e-05,pieron
9,18_epo,0.00019779807007398191,pieron
10,19_epo,7.565223800548864e-05,pieron
11,1_epo,0.00010477788299234336,pieron
12,20_epo,0.00026301229255532363,pieron
13,21_epo,0.00013447056568161584,pieron
14,22_epo,0.00033187639157376326,pieron
15,23_epo,0.00015368953978740996,pieron
16,24_epo,0.00017314711481465416,pieron
17,25_epo,0.00027012379542991897,pieron
18,2_epo,0.00011821542031883542,pieron
19,3_epo,0.00014779539876159172,pieron
20,4_epo,0.00014903611891524258,pieron
21,5_epo,0.0003309484840493999,pieron
22,6_epo,0.00021879276748288013,pieron
23,7_epo,0.0001905034109274048,pieron
24,8_epo,0.00014288047218988413,pieron
25,9_epo,8.211315631011508e-05,pieron
