,participant,gof,name
0,0_epo,0.045500064574380404,linear
1,10_epo,0.012479916902457137,linear
2,11_epo,0.05650509740510437,linear
3,12_epo,0.022746789799726854,linear
4,13_epo,0.015929331023827795,linear
5,14_epo,0.03296244853333243,linear
6,15_epo,0.046372173025305975,linear
7,16_epo,0.00938872939773564,linear
8,17_epo,0.1654846195572305,linear
9,18_epo,0.028850966084851118,linear
10,19_epo,0.016113251545094267,linear
11,1_epo,0.01702981445778719,linear
12,20_epo,0.01326247425320519,linear
13,21_epo,0.015037749793013134,linear
14,22_epo,0.03744448213940043,linear
15,23_epo,0.02374343450816972,linear
16,24_epo,0.06753704671470925,linear
17,25_epo,0.014662240118455946,linear
18,2_epo,0.014494815333173693,linear
19,3_epo,0.03617168239782699,linear
20,4_epo,0.016894476689697808,linear
21,5_epo,0.01694331108840795,linear
22,6_epo,0.049139185160335754,linear
23,7_epo,0.0438090187365988,linear
24,8_epo,0.024197955897376302,linear
25,9_epo,0.038848654910641614,linear
