,participant,gof,name
0,0_epo,0.06732847741356553,linear
1,10_epo,0.1843442663746836,linear
2,11_epo,0.14095931267034148,linear
3,12_epo,0.2369994973353066,linear
4,13_epo,0.03204838263745731,linear
5,14_epo,0.03631996778170206,linear
6,15_epo,0.3379576230842059,linear
7,16_epo,0.09675106750737113,linear
8,17_epo,0.2126459836910999,linear
9,18_epo,0.04854730055878997,linear
10,19_epo,0.17200395531743456,linear
11,1_epo,0.04339037929299044,linear
12,20_epo,0.17723999402219268,linear
13,21_epo,0.3393793728889648,linear
14,22_epo,0.08107289195011964,linear
15,23_epo,0.20195989551085775,linear
16,24_epo,0.23732011619058846,linear
17,25_epo,0.09238610785188446,linear
18,2_epo,0.2647562453764222,linear
19,3_epo,0.17936942162636377,linear
20,4_epo,0.11540464093697661,linear
21,5_epo,0.10277519015060367,linear
22,6_epo,0.2490054231125254,linear
23,7_epo,0.23126431163064826,linear
24,8_epo,0.0339815916383532,linear
25,9_epo,0.32398866370592094,linear
